CGPA,GPA,Average Assignment Marks,Average Project Marks,Attendance Percentage,Class Participation Credits,Extracurricular Activities,Achievements Credits,No. of Students in Class,Rank in Class,Certifications Count,Performance
5.21,7.97,63,37,51,58,0,86,51,50,6,85.47
9.43,7.69,21,60,85,66,1,89,62,40,10,99.0
7.93,9.24,57,10,55,53,0,87,75,43,14,97.32
7.88,5.21,73,86,62,44,0,89,92,82,2,86.51
5.56,6.76,36,11,50,86,0,12,90,28,9,64.39
6.39,6.06,69,68,93,6,0,90,36,7,19,86.75
7.47,9.26,41,24,62,30,0,61,94,55,19,84.25
6.56,5.06,25,47,79,17,0,99,72,31,7,78.85
5.13,5.67,51,52,62,50,0,18,63,52,8,56.71
7.86,7.19,34,47,96,91,1,8,47,2,19,81.59
8.26,8.35,83,25,65,57,1,83,35,12,16,99.0
6.11,6.68,92,25,65,34,1,41,52,23,10,69.17
5.96,5.66,21,71,55,16,1,58,37,17,12,67.42
5.47,6.72,15,56,98,81,1,23,84,30,8,70.12
7.59,6.8,88,21,97,24,0,79,72,70,4,79.45
9.03,5.6,44,42,52,76,1,47,44,12,4,81.12
8.39,7.57,26,28,58,26,1,46,42,20,1,66.78
9.29,7.47,36,60,84,94,0,98,36,3,5,99.0
6.44,7.18,99,18,67,26,1,28,37,34,14,65.38
5.64,5.19,11,73,95,10,0,1,78,70,3,38.21
5.51,8.01,62,88,74,19,0,42,46,11,7,67.95
8.41,5.9,39,95,98,31,1,20,43,43,13,67.57
5.15,8.85,36,94,67,11,0,60,39,6,2,69.04
5.89,6.08,99,94,80,12,0,95,80,2,11,88.07
6.67,9.29,76,27,73,25,0,56,48,43,3,72.57
7.21,5.66,56,69,65,48,1,2,39,13,15,62.99
8.09,7.45,47,37,78,62,0,64,98,86,5,84.34
7.91,6.44,10,53,77,66,0,100,86,66,8,96.19
8.73,5.6,75,28,99,17,1,66,78,47,8,76.98
8.65,8.03,59,60,81,92,0,40,39,21,10,91.84
5.84,5.36,31,100,99,55,0,61,32,4,7,79.03
7.27,7.46,73,10,54,8,0,75,86,39,6,73.8
6.23,9.57,98,66,73,2,0,9,63,23,5,56.37
7.98,7.59,94,73,85,49,0,97,98,7,14,99.0
6.3,8.39,35,39,59,49,1,94,43,3,14,95.73
5.87,7.41,22,47,50,96,1,49,56,15,10,84.75
5.09,5.35,37,24,79,30,0,40,91,20,10,59.56
5.78,8.23,91,51,67,1,0,76,68,62,4,72.4
6.4,9.36,22,74,66,41,0,15,30,14,16,69.06
7.06,8.02,20,13,81,98,1,68,80,32,10,94.56
6.36,6.34,39,46,73,11,0,65,63,61,15,70.95
8.08,6.16,68,74,63,23,1,46,97,37,4,70.46
8.87,5.9,38,84,71,31,0,28,41,5,14,72.13
9.4,6.89,42,64,93,25,1,83,43,5,8,90.52
9.22,9.73,65,57,57,77,1,79,42,33,9,99.0
7.42,6.18,83,23,77,92,0,35,58,30,10,82.39
9.42,7.74,76,63,80,72,1,77,60,3,7,99.0
7.71,7.26,32,98,66,22,0,97,82,80,14,92.31
5.23,6.2,81,91,94,15,1,28,64,25,16,65.07
8.79,6.59,17,16,90,25,1,69,56,16,11,79.66
5.04,8.56,39,36,72,62,1,32,47,20,16,74.81
8.57,9.41,22,66,91,62,1,14,53,39,11,76.71
8.44,7.71,59,91,85,29,0,40,54,54,9,75.67
6.31,5.79,90,70,94,85,1,35,67,65,13,82.41
6.63,6.81,48,86,52,52,1,71,90,60,1,80.77
5.66,9.37,54,76,52,62,1,15,35,5,14,74.47
6.19,7.88,99,37,62,15,1,29,88,69,8,61.95
8.1,9.32,76,61,50,51,1,50,75,22,1,82.84
6.19,6.51,57,81,93,70,0,22,66,20,11,73.95
8.22,5.4,18,33,82,13,1,75,71,31,5,72.22
6.73,9.0,80,30,64,55,1,100,39,14,19,99.0
7.74,6.35,64,42,86,56,1,4,51,7,4,62.32
